LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
"Coenonympha pamphilus|NHMSYS0000519083|Small Heath|Animalia|Nymphalidae","Coenonympha pamphilus","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha pamphilus",,"115",""
"Coenonympha tullia|NHMSYS0000519078|Large Heath|Animalia|Nymphalidae","Coenonympha tullia","(Müller, 1764)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha tullia",,"8",""
"Crex crex|NHMSYS0000530322|Corncrake|Animalia|Rallidae","Crex crex","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Crex","Crex crex",,"1",""
"Cuculus canorus|NHMSYS0000530324|Cuckoo|Animalia|Cuculidae","Cuculus canorus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus",,"262",""
"Delphinus delphis|NBNSYS0000005181|Common Dolphin|Animalia|Delphinidae","Delphinus delphis","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus","Delphinus delphis",,"1",""
"Ecliptopera silaceata|NHMSYS0021143991|Small Phoenix|Animalia|Geometridae","Ecliptopera silaceata","([Denis & Schiffermüller], 1775)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Ecliptopera","Ecliptopera silaceata",,"1",""
"Emberiza citrinella|NHMSYS0000530727|Yellowhammer|Animalia|Emberizidae","Emberiza citrinella","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza citrinella",,"8",""
"Emberiza schoeniclus|NHMSYS0000530734|Reed Bunting|Animalia|Emberizidae","Emberiza schoeniclus","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza schoeniclus",,"53",""
"Erinaceus europaeus|NBNSYS0000005078|Hedgehog|Animalia|Erinaceidae","Erinaceus europaeus","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Mammalia","Insectivora","Erinaceidae","Erinaceus","Erinaceus europaeus",,"4",""
"Eugnorisma glareosa|NHMSYS0000502566|Autumnal Rustic|Animalia|Noctuidae","Eugnorisma glareosa","(Esper, 1788)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Eugnorisma","Eugnorisma glareosa",,"5",""
"Fucus distichus|NHMSYS0021058643||Chromista|Fucaceae","Fucus distichus","Linnaeus, 1767",,"SPECIES","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Fucus","Fucus distichus",,"2",""
"Fumaria purpurea|NBNSYS0000002784|Purple Ramping-fumitory|Plantae|Papaveraceae","Fumaria purpurea","Pugsley",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Fumaria","Fumaria purpurea",,"1",""
"Gadus morhua|NBNSYS0000175392|Atlantic Cod|Animalia|Gadidae","Gadus morhua","Linnaeus, 1758",,"SPECIES","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua",,"2",""
"Gavia arctica|NBNSYS0000000219|Black-throated Diver|Animalia|Gaviidae","Gavia arctica","(Linnaeus, 1758)",,"SPECIES","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia arctica",,"40",""
"Gentianella campestris|NHMSYS0000459024|Field Gentian|Plantae|Gentianaceae","Gentianella campestris","(L.) Börner",,"SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentianella","Gentianella campestris",,"13",""
"Hepialus humuli|NBNSYS0000005307|Ghost Moth|Animalia|Hepialidae","Hepialus humuli","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Hepialidae","Hepialus","Hepialus humuli",,"1",""
"Hipparchia semele|NHMSYS0000520428|Grayling|Animalia|Nymphalidae","Hipparchia semele","(Linnaeus, 1758)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia semele",,"11",""
"Hydraecia micacea|NBNSYS0000006466|Rosy Rustic|Animalia|Noctuidae","Hydraecia micacea","(Esper, 1789)",,"SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Hydraecia","Hydraecia micacea",,"4",""
"Juniperus communis|NBNSYS0000004634|Juniper|Plantae|Cupressaceae","Juniperus communis","L.",,"SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus communis",,"13",""
"Lagopus lagopus scotica|NHMSYS0000533983|Red Grouse (scotica)|Animalia|Phasianidae","Lagopus lagopus scotica","(Latham, 1787)",,"SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus lagopus",,"10",""
"Larus argentatus argenteus|NHMSYS0020303070||Animalia|Laridae","Larus argentatus argenteus","Brehm, CL & Schilling, 1822",,"SUBSPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus argentatus",,"1",""
