LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive,,
Calidris alpina|NBNSYS0000000035|Dunlin|Animalia|Scolopacidae,Calidris alpina,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alpina,,4,
Caloplaca britannica|NHMSYS0001476629||Fungi|Teloschistaceae,Caloplaca britannica,R. Sant.,,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca britannica,,1,
Caloplaca crenularia|NBNSYS0000020528||Fungi|Teloschistaceae,Caloplaca crenularia,(With.) J.R. Laundon,,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca crenularia,,6,
Cephalanthera longifolia|NBNSYS0000002286|Narrow-leaved Helleborine|Plantae|Orchidaceae,Cephalanthera longifolia,(L.) Fritsch,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cephalanthera,Cephalanthera longifolia,,1,
Ceramica pisi|NBNSYS0000006254|Broom Moth|Animalia|Noctuidae,Ceramica pisi,"(Linnaeus, 1758)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melanchra,Ceramica pisi,,6,
Chiasmia clathrata|NBNSYS0100002337|Latticed Heath|Animalia|Geometridae,Chiasmia clathrata,"(Linnaeus, 1758)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata,,1,
Chroicocephalus ridibundus|NHMSYS0020962539|Black-headed Gull|Animalia|Laridae,Chroicocephalus ridibundus,"(Linnaeus, 1766)",,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,,27,
Circus cyaneus|NHMSYS0000530294|Hen Harrier|Animalia|Accipitridae,Circus cyaneus,"(Linnaeus, 1766)",,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus cyaneus,,147,
Cochlearia officinalis subsp. scotica|NHMSYS0000457402|Scottish Scurvygrass|Plantae|Brassicaceae,Cochlearia officinalis subsp. scotica,(Druce) P.S. Wyse Jacks.,,SUBSPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cochlearia,Cochlearia officinalis,,5,
Coenonympha pamphilus|NHMSYS0000519083|Small Heath|Animalia|Nymphalidae,Coenonympha pamphilus,"(Linnaeus, 1758)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha pamphilus,,115,
Coenonympha tullia|NHMSYS0000519078|Large Heath|Animalia|Nymphalidae,Coenonympha tullia,"(Müller, 1764)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha tullia,,8,
Contacyphon hilaris|NHMSYS0021422149||Animalia|Scirtidae,Contacyphon hilaris,"(Nyholm, 1944)",,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Scirtidae,Contacyphon,Contacyphon hilaris,,2,
Corvus cornix|NHMSYS0000530314|Hooded Crow|Animalia|Corvidae,Corvus cornix,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,,284,
Crex crex|NHMSYS0000530322|Corncrake|Animalia|Rallidae,Crex crex,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Gruiformes,Rallidae,Crex,Crex crex,,1,
Cuculus canorus|NHMSYS0000530324|Cuckoo|Animalia|Cuculidae,Cuculus canorus,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus canorus,,262,
Cygnus cygnus|NBNSYS0000000199|Whooper Swan|Animalia|Anatidae,Cygnus cygnus,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus cygnus,,1,
Ditrichum flexicaule|NHMSYS0000310869||Plantae|Ditrichaceae,Ditrichum flexicaule,,s.l.,SPECIES_AGGREGATE,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ditrichum,,,1,
Ecliptopera silaceata|NHMSYS0021143991|Small Phoenix|Animalia|Geometridae,Ecliptopera silaceata,"([Denis & Schiffermüller], 1775)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ecliptopera,Ecliptopera silaceata,,1,
Emberiza citrinella|NHMSYS0000530727|Yellowhammer|Animalia|Emberizidae,Emberiza citrinella,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza citrinella,,8,
Emberiza schoeniclus|NHMSYS0000530734|Reed Bunting|Animalia|Emberizidae,Emberiza schoeniclus,"(Linnaeus, 1758)",,SPECIES,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza schoeniclus,,53,
Entoloma indutoides|NHMSYS0001481571|Drab Pinkgill|Fungi|Entolomataceae,Entoloma indutoides,(P.D. Orton) Noordel.,,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma indutoides,,1,
Erinaceus europaeus|NBNSYS0000005078|Hedgehog|Animalia|Erinaceidae,Erinaceus europaeus,"Linnaeus, 1758",,SPECIES,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,Erinaceus europaeus,,4,
Eugnorisma glareosa|NHMSYS0000502566|Autumnal Rustic|Animalia|Noctuidae,Eugnorisma glareosa,"(Esper, 1788)",,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eugnorisma,Eugnorisma glareosa,,5,
Euphorbia helioscopia|NBNSYS0000003732|Sun Spurge|Plantae|Euphorbiaceae,Euphorbia helioscopia,L.,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia helioscopia,,1,
