Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Category,database
Carabus cancellatus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus cancellatus,invasive,invasive general
Euophryum confine,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Euophryum,Euophryum confine,invasive,invasive general
Thera britannica,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Thera,Thera britannica,invasive,invasive general
Acronicta psi,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta psi,concern,sbl general
Acronicta rumicis,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta rumicis,concern,sbl general
Allophyes oxyacanthae,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Allophyes,Allophyes oxyacanthae,concern,sbl general
Amphipoea oculea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipoea,Amphipoea oculea,concern,sbl general
Amphipyra tragopoginis,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra,Amphipyra tragopoginis,concern,sbl general
Apamea remissa,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,Apamea remissa,concern,sbl general
Arctia caja,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctia,Arctia caja,concern,sbl general
Boloria selene,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria selene,concern,sbl general
Bombus monticola,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus monticola,concern,sbl general
Ceramica pisi,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melanchra,Ceramica pisi,concern,sbl general
Chiasmia clathrata,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata,concern,sbl general
Coenonympha pamphilus,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha pamphilus,concern,sbl general
Coenonympha tullia,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha tullia,concern,sbl general
Contacyphon hilaris,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Scirtidae,Contacyphon,Contacyphon hilaris,concern,sbl general
Ecliptopera silaceata,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ecliptopera,Ecliptopera silaceata,concern,sbl general
Eugnorisma glareosa,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eugnorisma,Eugnorisma glareosa,concern,sbl general
Hepialus humuli,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Hepialidae,Hepialus,Hepialus humuli,concern,sbl general
Hipparchia semele,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hipparchia,Hipparchia semele,concern,sbl general
Hydraecia micacea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hydraecia,Hydraecia micacea,concern,sbl general
Hydroporus longulus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,Hydroporus longulus,concern,sbl general
Laccobius atratus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Laccobius,Laccobius atratus,concern,sbl general
Meloe violaceus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Meloidae,Meloe,Meloe violaceus,concern,sbl general
Osmia bicornis,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia bicornis,concern,sbl general
Poophagus sisymbrii,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Poophagus,Poophagus sisymbrii,concern,sbl general
Rheumaptera hastata,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Rheumaptera,Rheumaptera hastata,concern,sbl general
Spilosoma lubricipeda,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda,concern,sbl general
Spilosoma lutea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lutea,concern,sbl general
Stilbia anomala,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Stilbia,Stilbia anomala,concern,sbl general
Tipula limbata,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula limbata,concern,sbl general
Tipula melanoceros,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula melanoceros,concern,sbl general
Tyria jacobaeae,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,concern,sbl general
Xestia agathina,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia agathina,concern,sbl general
Xestia castanea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia castanea,concern,sbl general
Acronicta psi,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta psi,concern,uk  priority list
Acronicta rumicis,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta rumicis,concern,uk  priority list
Allophyes oxyacanthae,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Allophyes,Allophyes oxyacanthae,concern,uk  priority list
Amphipoea oculea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipoea,Amphipoea oculea,concern,uk  priority list
Amphipyra tragopoginis,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra,Amphipyra tragopoginis,concern,uk  priority list
Apamea remissa,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,Apamea remissa,concern,uk  priority list
Aporophyla lueneburgensis,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Aporophyla,Aporophyla lueneburgensis,concern,uk  priority list
Arctia caja,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctia,Arctia caja,concern,uk  priority list
Boloria selene,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria selene,concern,uk  priority list
Ceramica pisi,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melanchra,Ceramica pisi,concern,uk  priority list
Chiasmia clathrata,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata,concern,uk  priority list
Coenonympha pamphilus,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha pamphilus,concern,uk  priority list
Coenonympha tullia,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha tullia,concern,uk  priority list
Ecliptopera silaceata,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ecliptopera,Ecliptopera silaceata,concern,uk  priority list
Eugnorisma glareosa,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eugnorisma,Eugnorisma glareosa,concern,uk  priority list
Hepialus humuli,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Hepialidae,Hepialus,Hepialus humuli,concern,uk  priority list
Hipparchia semele,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hipparchia,Hipparchia semele,concern,uk  priority list
Hydraecia micacea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hydraecia,Hydraecia micacea,concern,uk  priority list
Meloe violaceus,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Meloidae,Meloe,Meloe violaceus,concern,uk  priority list
Rheumaptera hastata,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Rheumaptera,Rheumaptera hastata,concern,uk  priority list
Spilosoma lubricipeda,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda,concern,uk  priority list
Spilosoma lutea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lutea,concern,uk  priority list
Stilbia anomala,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Stilbia,Stilbia anomala,concern,uk  priority list
Tyria jacobaeae,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,concern,uk  priority list
Xestia agathina,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia agathina,concern,uk  priority list
Xestia castanea,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia castanea,concern,uk  priority list
Acarospora fuscata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora fuscata,concern,rspb south
Acarospora privigna,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora privigna,concern,rspb south
Acarospora sinopica,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora sinopica,concern,rspb south
Agonimia tristicula,SPECIES,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Agonimia,Agonimia tristicula,concern,rspb south
Arthonia radiata,SPECIES,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,Arthonia radiata,concern,rspb south
Arthrorhaphis grisea,SPECIES,Fungi,Ascomycota,Lecanoromycetes,,Arthrorhaphidaceae,Arthrorhaphis,Arthrorhaphis grisea,concern,rspb south
Baeomyces rufus,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Baeomycetales,Baeomycetaceae,Baeomyces,Baeomyces rufus,concern,rspb south
Buellia aethalea,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,Buellia aethalea,concern,rspb south
Buellia griseovirens,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,Buellia griseovirens,concern,rspb south
Candelariella reflexa,SPECIES,Fungi,Ascomycota,Candelariomycetes,Candelariales,Candelariaceae,Candelariella,Candelariella reflexa,concern,rspb south
Candelariella vitellina,FORM,Fungi,Ascomycota,Candelariomycetes,Candelariales,Candelariaceae,Candelariella,Candelariella vitellina,concern,rspb south
Cladonia coccifera,SPECIES_SENSU_LATO,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,concern,rspb south
Cladonia polydactyla,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,Cladonia polydactyla,concern,rspb south
Cladonia subcervicornis,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,Cladonia subcervicornis,concern,rspb south
Cladonia uncialis,SUBSPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,Cladonia uncialis,concern,rspb south
Coenogonium pineti,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Coenogoniaceae,Coenogonium,Coenogonium pineti,concern,rspb south
Dibaeis baeomyces,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Icmadophilaceae,Dibaeis,Dibaeis baeomyces,concern,rspb south
Flavoparmelia caperata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia,Flavoparmelia caperata,concern,rspb south
Fuscidea cyathoides,VARIETY,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Fuscideaceae,Fuscidea,Fuscidea cyathoides,concern,rspb south
Fuscidea lightfootii,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Fuscideaceae,Fuscidea,Fuscidea lightfootii,concern,rspb south
Fuscidea lygaea,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Fuscideaceae,Fuscidea,Fuscidea lygaea,concern,rspb south
Hyperphyscia adglutinata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Hyperphyscia,Hyperphyscia adglutinata,concern,rspb south
Hypogymnia physodes,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,Hypogymnia physodes,concern,rspb south
Hypogymnia tubulosa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,Hypogymnia tubulosa,concern,rspb south
Immersaria athroocarpa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,Immersaria,Immersaria athroocarpa,concern,rspb south
Lecanora chlarotera,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,Lecanora chlarotera,concern,rspb south
Lecanora conizaeoides,FORM,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,Lecanora conizaeoides,concern,rspb south
Lecanora expallens,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,Lecanora expallens,concern,rspb south
Lecanora polytropa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,Lecanora polytropa,concern,rspb south
Lecanora symmicta,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,Lecanora symmicta,concern,rspb south
Lecidella elaeochroma,FORM,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecidella,Lecidella elaeochroma,concern,rspb south
Lepra corallina,SPECIES,Fungi,Ascomycota,,,,Lepra,Lepra corallina,concern,rspb south
Melanelixia fuliginosa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanelixia,Melanelixia fuliginosa,concern,rspb south
Melanelixia subaurifera,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanelixia,Melanelixia subaurifera,concern,rspb south
Melanohalea exasperata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanohalea,Melanohalea exasperata,concern,rspb south
Micarea botryoides,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Micarea,Micarea botryoides,concern,rspb south
Micarea leprosula,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Micarea,Micarea leprosula,concern,rspb south
Micarea lignaria,VARIETY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Micarea,Micarea lignaria,concern,rspb south
Micarea nitschkeana,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Micarea,Micarea nitschkeana,concern,rspb south
Naevia punctiformis,SPECIES,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Naevia,Naevia punctiformis,concern,rspb south
Opegrapha vulgata,SPECIES,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Opegraphaceae,Opegrapha,Opegrapha vulgata,concern,rspb south
Parmelia saxatilis,SPECIES_SENSU_LATO,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,,concern,rspb south
Parmelia sulcata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,Parmelia sulcata,concern,rspb south
Parmelina pastillifera,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelina,Parmelina pastillifera,concern,rspb south
Parmotrema perlatum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,Parmotrema perlatum,concern,rspb south
Pertusaria leioplaca,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,Pertusaria leioplaca,concern,rspb south
Pertusaria pertusa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,Pertusaria pertusa,concern,rspb south
Physcia caesia,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Physcia,Physcia caesia,concern,rspb south
Physcia tenella,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Physcia,Physcia tenella,concern,rspb south
Placynthiella icmalea,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Baeomycetales,Trapeliaceae,Placynthiella,Placynthiella icmalea,concern,rspb south
Platismatia glauca,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Platismatia,Platismatia glauca,concern,rspb south
Porpidia tuberculosa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,Porpidia,Porpidia tuberculosa,concern,rspb south
Punctelia subrudecta,SPECIES_SENSU_LATO,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Punctelia,,concern,rspb south
Ramalina farinacea,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,Ramalina farinacea,concern,rspb south
Ramalina fastigiata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,Ramalina fastigiata,concern,rspb south
Rinodina sophodes,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Rinodina,Rinodina sophodes,concern,rspb south
Roselliniopsis tartaricola,SPECIES,Fungi,Ascomycota,Sordariomycetes,Sordariales,,Roselliniopsis,Roselliniopsis tartaricola,concern,rspb south
Scoliciosporum umbrinum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Scoliciosporaceae,Scoliciosporum,Scoliciosporum umbrinum,concern,rspb south
Stereocaulon evolutum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,Stereocaulon evolutum,concern,rspb south
Stereocaulon vesuvianum var. vesuvianum,VARIETY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,Stereocaulon vesuvianum,concern,rspb south
Tephromela atra var. atra,VARIETY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Tephromelataceae,Tephromela,Tephromela atra,concern,rspb south
Trapeliopsis gelatinosa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Baeomycetales,Trapeliaceae,Trapeliopsis,Trapeliopsis gelatinosa,concern,rspb south
Trapeliopsis granulosa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Baeomycetales,Trapeliaceae,Trapeliopsis,Trapeliopsis granulosa,concern,rspb south
Tremolecia atrata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Hymeneliales,Hymeneliaceae,Tremolecia,Tremolecia atrata,concern,rspb south
Usnea subfloridana,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Usnea,Usnea subfloridana,concern,rspb south
Xanthoparmelia conspersa,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Xanthoparmelia,Xanthoparmelia conspersa,concern,rspb south
Xanthoria parietina,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,Xanthoria parietina,concern,rspb south
Xanthoria ucrainica,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,Xanthoria ucrainica,concern,rspb south
Scoliciosporum umbrinum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Scoliciosporaceae,Scoliciosporum,Scoliciosporum umbrinum,concern,sbl south
Caloplaca britannica,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca britannica,concern,sbl general
Caloplaca crenularia,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca crenularia,concern,sbl general
Hypotrachyna endochlora,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypotrachyna,Hypotrachyna endochlora,concern,sbl general
Lecania cyrtella,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Lecania,Lecania cyrtella,concern,sbl general
Leptogium saturninum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium,Leptogium saturninum,concern,sbl general
Lobaria pulmonaria,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobaria,Lobaria pulmonaria,concern,sbl general
Lobarina scrobiculata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobarina,Lobarina scrobiculata,concern,sbl general
Nephroma laevigatum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Nephromataceae,Nephroma,Nephroma laevigatum,concern,sbl general
Scoliciosporum umbrinum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Scoliciosporaceae,Scoliciosporum,Scoliciosporum umbrinum,concern,sbl general
