Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Category,database
Sticta canariensis,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,Sticta canariensis,concern,sbl general
Sticta limbata,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,Sticta limbata,concern,sbl general
Sticta sylvatica,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,Sticta sylvatica,concern,sbl general
Thalloidima sedifolium,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Thalloidima,Thalloidima sedifolium,concern,sbl general
Leptogium saturninum,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium,Leptogium saturninum,concern,uk  priority list
Sticta canariensis,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,Sticta canariensis,concern,uk  priority list
Thalloidima sedifolium,SPECIES,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Thalloidima,Thalloidima sedifolium,concern,uk  priority list
Entoloma indutoides,SPECIES,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma indutoides,concern,sbl general
Andreaea megistospora,SPECIES,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,Andreaea megistospora,concern,rspb south
Campylopus introflexus,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Campylopus,Campylopus introflexus,invasive,invasive general
Ditrichum flexicaule,SPECIES_AGGREGATE,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ditrichum,,concern,sbl general
Hedwigia ciliata,SPECIES_AGGREGATE,Plantae,Bryophyta,Bryopsida,Hedwigiales,Hedwigiaceae,Hedwigia,,concern,sbl general
Palustriella commutata,SPECIES_AGGREGATE,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Palustriella,,concern,sbl general
Cygnus olor,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,invasive,invasive north
Oryctolagus cuniculus,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,invasive,invasive north
Phasianus colchicus,SPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,invasive,invasive north
Sciurus vulgaris,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris,concern,rspb north
Corvus cornix,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,concern,sbl north
Cuculus canorus,SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus canorus,concern,sbl north
Falco tinnunculus,SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,concern,sbl north
Gavia immer,SPECIES,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer,concern,sbl north
Larus argentatus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,concern,sbl north
Linaria cannabina,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,concern,sbl north
Passer domesticus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,concern,sbl north
Sciurus vulgaris,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris,concern,sbl north
Thalasseus sandvicensis,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis,concern,sbl north
Turdus philomelos,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,concern,sbl north
Turdus torquatus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus torquatus,concern,sbl north
Cygnus olor,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,invasive,invasive south
Neovison vison,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Neovison,Neovison vison,invasive,invasive south
Accipiter nisus,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus,concern,rspb south
Anas platyrhynchos,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,concern,rspb south
Anguilla anguilla,SPECIES,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,concern,rspb south
Anthus pratensis,SPECIES,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,concern,rspb south
Ardea cinerea,SPECIES,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Ardea,Ardea cinerea,concern,rspb south
Bufo bufo,SPECIES,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bufo,concern,rspb south
Buteo buteo,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo buteo,concern,rspb south
Coloeus monedula,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Coloeus,Coloeus monedula,concern,rspb south
Columba palumbus,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,concern,rspb south
Corvus cornix,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,concern,rspb south
Corvus corone,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corone,concern,rspb south
Cuculus canorus,SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus canorus,concern,rspb south
Cyanistes caeruleus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,concern,rspb south
Cygnus olor,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,concern,rspb south
Delichon urbicum,SPECIES,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,Delichon urbicum,concern,rspb south
Dendrocopos major,SPECIES,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos major,concern,rspb south
Erithacus rubecula,SPECIES,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus rubecula,concern,rspb south
Falco tinnunculus,SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,concern,rspb south
Fringilla coelebs,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,concern,rspb south
Gasterosteus aculeatus,SPECIES,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,concern,rspb south
Haematopus ostralegus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Haematopus,Haematopus ostralegus,concern,rspb south
Hirundo rustica,SPECIES,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,concern,rspb south
Lagopus lagopus,SPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,Lagopus lagopus,concern,rspb south
Larus argentatus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,concern,rspb south
Larus fuscus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus fuscus,concern,rspb south
Motacilla alba yarrellii,SUBSPECIES,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,concern,rspb south
Motacilla cinerea,SPECIES,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea,concern,rspb south
Neovison vison,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Neovison,Neovison vison,concern,rspb south
Numenius arquata,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,concern,rspb south
Parus major,SPECIES,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,concern,rspb south
Passer domesticus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,concern,rspb south
Phylloscopus trochilus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus trochilus,concern,rspb south
Prunella modularis,SPECIES,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,concern,rspb south
Salmo trutta,SPECIES,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta,concern,rspb south
Sciurus vulgaris,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris,concern,rspb south
Strix aluco,SPECIES,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix aluco,concern,rspb south
Sturnus vulgaris,SPECIES,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,concern,rspb south
Sylvia atricapilla,SPECIES,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,concern,rspb south
Tringa totanus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa totanus,concern,rspb south
Troglodytes troglodytes,SPECIES,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes troglodytes,concern,rspb south
Turdus merula,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,concern,rspb south
Turdus philomelos,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,concern,rspb south
Tyto alba,SPECIES,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto alba,concern,rspb south
Anguilla anguilla,SPECIES,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,concern,sbl south
Bufo bufo,SPECIES,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bufo,concern,sbl south
Corvus cornix,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,concern,sbl south
Cuculus canorus,SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus canorus,concern,sbl south
Falco tinnunculus,SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,concern,sbl south
Larus argentatus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,concern,sbl south
Numenius arquata,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,concern,sbl south
Passer domesticus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,concern,sbl south
Salmo trutta,SPECIES,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta,concern,sbl south
Sciurus vulgaris,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris,concern,sbl south
Turdus philomelos,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,concern,sbl south
Tyto alba,SPECIES,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto alba,concern,sbl south
Alectoris rufa,SPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris rufa,invasive,invasive general
Anser albifrons,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser albifrons,invasive,invasive general
Branta canadensis,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta canadensis,invasive,invasive general
Capra hircus,SPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,invasive,invasive general
Capreolus capreolus,SPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,invasive,invasive general
Cervus nippon,SPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus nippon,invasive,invasive general
Columba livia,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba livia,invasive,invasive general
Cygnus cygnus,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus cygnus,invasive,invasive general
Cygnus olor,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,invasive,invasive general
Lepus europaeus,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus europaeus,invasive,invasive general
Mareca penelope,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,Mareca penelope,invasive,invasive general
Neovison vison,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Neovison,Neovison vison,invasive,invasive general
Oryctolagus cuniculus,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,invasive,invasive general
Phasianus colchicus,SPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,invasive,invasive general
Rattus norvegicus,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,invasive,invasive general
Salmo salar,SPECIES,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,invasive,invasive general
Vulpes vulpes,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,invasive,invasive general
Acanthis cabaret,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis cabaret,concern,sbl general
Alauda arvensis,SPECIES,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis,concern,sbl general
Alcedo atthis,SPECIES,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,Alcedo atthis,concern,sbl general
Anguilla anguilla,SPECIES,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,concern,sbl general
Anguis fragilis,SPECIES,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,concern,sbl general
Anser albifrons,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser albifrons,concern,sbl general
Anthus trivialis,SPECIES,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus trivialis,concern,sbl general
Apus apus,SPECIES,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,Apus apus,concern,sbl general
Aquila chrysaetos,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,concern,sbl general
Asio flammeus,SPECIES,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,concern,sbl general
Bufo bufo,SPECIES,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bufo,concern,sbl general
Calidris alpina,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alpina,concern,sbl general
Chroicocephalus ridibundus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,concern,sbl general
Circus cyaneus,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus cyaneus,concern,sbl general
Corvus cornix,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,concern,sbl general
Crex crex,SPECIES,Animalia,Chordata,Aves,Gruiformes,Rallidae,Crex,Crex crex,concern,sbl general
Cuculus canorus,SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus canorus,concern,sbl general
Cygnus cygnus,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus cygnus,concern,sbl general
Emberiza citrinella,SPECIES,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza citrinella,concern,sbl general
Emberiza schoeniclus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza schoeniclus,concern,sbl general
Erinaceus europaeus,SPECIES,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,Erinaceus europaeus,concern,sbl general
Falco columbarius,SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco columbarius,concern,sbl general
Falco peregrinus,SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,concern,sbl general
Falco tinnunculus,SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,concern,sbl general
Fringilla montifringilla,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla montifringilla,concern,sbl general
Gavia arctica,SPECIES,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia arctica,concern,sbl general
Gavia immer,SPECIES,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer,concern,sbl general
Gavia stellata,SPECIES,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia stellata,concern,sbl general
Haliaeetus albicilla,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus albicilla,concern,sbl general
Hydrobates pelagicus,SPECIES,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates pelagicus,concern,sbl general
Lagopus lagopus scotica,SUBSPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,Lagopus lagopus,concern,sbl general
Larus argentatus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,concern,sbl general
Lepus europaeus,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus europaeus,concern,sbl general
Lepus timidus,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus timidus,concern,sbl general
Linaria cannabina,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,concern,sbl general
Locustella naevia,SPECIES,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella naevia,concern,sbl general
Lutra lutra,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,Lutra lutra,concern,sbl general
Lyrurus tetrix,SPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,concern,sbl general
Melanitta nigra,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,Melanitta nigra,concern,sbl general
Milvus milvus,SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,concern,sbl general
Muscicapa striata,SPECIES,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,Muscicapa striata,concern,sbl general
Mustela putorius,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,concern,sbl general
Myotis daubentonii,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis daubentonii,concern,sbl general
Myotis nattereri,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nattereri,concern,sbl general
Numenius arquata,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,concern,sbl general
Passer domesticus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,concern,sbl general
Passer montanus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer montanus,concern,sbl general
Phylloscopus sibilatrix,SPECIES,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus sibilatrix,concern,sbl general
Pipistrellus pipistrellus,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,concern,sbl general
Pipistrellus pygmaeus,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pygmaeus,concern,sbl general
Plecotus auritus,SPECIES,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus auritus,concern,sbl general
Plectrophenax nivalis,SPECIES,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Plectrophenax,Plectrophenax nivalis,concern,sbl general
Pluvialis apricaria,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis apricaria,concern,sbl general
Podiceps auritus,SPECIES,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps auritus,concern,sbl general
Poecile montanus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile montanus,concern,sbl general
Puffinus puffinus,SPECIES,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus puffinus,concern,sbl general
Pyrrhocorax pyrrhocorax,SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax pyrrhocorax,concern,sbl general
Pyrrhula pyrrhula,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,Pyrrhula pyrrhula,concern,sbl general
Salmo salar,SPECIES,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,concern,sbl general
Salmo trutta,SPECIES,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta,concern,sbl general
Sciurus vulgaris,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris,concern,sbl general
Scolopax rusticola,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax rusticola,concern,sbl general
Spinus spinus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus spinus,concern,sbl general
Stercorarius parasiticus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius parasiticus,concern,sbl general
Sterna hirundo,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,concern,sbl general
Sterna paradisaea,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna paradisaea,concern,sbl general
Thalasseus sandvicensis,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis,concern,sbl general
Triturus cristatus,SPECIES,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus,concern,sbl general
Turdus iliacus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus iliacus,concern,sbl general
Turdus philomelos,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,concern,sbl general
Turdus torquatus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus torquatus,concern,sbl general
Tyto alba,SPECIES,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto alba,concern,sbl general
Vanellus vanellus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus vanellus,concern,sbl general
Vipera berus,SPECIES,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Vipera berus,concern,sbl general
Zootoca vivipara,SPECIES,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Zootoca,Zootoca vivipara,concern,sbl general
Acanthis cabaret,SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis cabaret,concern,uk  priority list
Anguilla anguilla,SPECIES,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,concern,uk  priority list
Anguis fragilis,SPECIES,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,concern,uk  priority list
Anthus trivialis,SPECIES,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus trivialis,concern,uk  priority list
Balaenoptera acutorostrata,SPECIES,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,concern,uk  priority list
Bufo bufo,SPECIES,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bufo,concern,uk  priority list
Cetorhinus maximus,SPECIES,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Cetorhinus maximus,concern,uk  priority list
Crex crex,SPECIES,Animalia,Chordata,Aves,Gruiformes,Rallidae,Crex,Crex crex,concern,uk  priority list
Cuculus canorus,SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus canorus,concern,uk  priority list
Delphinus delphis,SPECIES,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,Delphinus delphis,concern,uk  priority list
Emberiza citrinella,SPECIES,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza citrinella,concern,uk  priority list
Emberiza schoeniclus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza schoeniclus,concern,uk  priority list
Erinaceus europaeus,SPECIES,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,Erinaceus europaeus,concern,uk  priority list
Gadus morhua,SPECIES,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus morhua,concern,uk  priority list
Gavia arctica,SPECIES,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia arctica,concern,uk  priority list
Lagopus lagopus scotica,SUBSPECIES,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,Lagopus lagopus,concern,uk  priority list
Larus argentatus argenteus,SUBSPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,concern,uk  priority list
Lepus europaeus,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus europaeus,concern,uk  priority list
Lepus timidus,SPECIES,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus timidus,concern,uk  priority list
Locustella naevia,SPECIES,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella naevia,concern,uk  priority list
Lutra lutra,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,Lutra lutra,concern,uk  priority list
Melanitta nigra,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,Melanitta nigra,concern,uk  priority list
Muscicapa striata,SPECIES,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,Muscicapa striata,concern,uk  priority list
Mustela putorius,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,concern,uk  priority list
Natrix helvetica,SPECIES,Animalia,Chordata,Reptilia,Squamata,Colubridae,Natrix,Natrix helvetica,concern,uk  priority list
Numenius arquata,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius arquata,concern,uk  priority list
Passer domesticus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,concern,uk  priority list
Passer montanus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer montanus,concern,uk  priority list
Phoca vitulina,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,concern,uk  priority list
