ID,N,W
NE1 11/09,650969,194537
NE2 10/09,650600,194716
NE3 09/09,650299,194721
NW1 11/09,650924,194255
NW2 10/09,650893,194056
NW3 09/09,650894,193754
SE3 09/09,649761,193887
SW3 09/09,649991,193681
SE2 10/09,649690,193778
SW2 10/09,649897,193598
SE1 11/09,649485,193654
SW1 11/09,649819,193522
