ID,N,W
SD4FI_A,199820,618403
SU4FI_A,199854,618373
NU4FI_A,199473,619099
ND4FI_A,199452,619078
ND4FI_B,200124,618746
NU4FI_B,200098,618844
SD4FI_B,199541,618358
SU4FI_B,193995.22,649621.57
