ID,N,W
N3TIT_E,618799,199683
S3TIT_E,55.41922,-5.17005
S3TIT_A,55.42027,-5.17134
N3TIT_A,55.42253,-5.16755
S3TIT_J,55.41828,-5.1681
N3TIT_J,55.42061,-5.16371
